epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,706.009,1.94739,3.32607,2.79137,1.74723,0,0.06209,0.18357,0.04206,0.01365,0.05555,0.16425,0.03676,0.01259,2.31894,6.55956,15.3242,2.17621,0,0.000653333,0.000653333,0.000653333
2,1330.28,2.10488,3.22241,2.38472,1.93844,0,0.0555,0.14734,0.02578,0.00963,0.03602,0.1087,0.0133,0.00383,2.4795,13.2239,15.6097,3.94788,0,0.00118932,0.00118932,0.00118932
3,1998.26,2.18981,3.26709,2.57184,2.10283,0,0.02278,0.39372,0.01184,0.00378,0.02411,0.29227,0.01234,0.00441,2.48809,6.26647,70.5231,2.72292,0,0.00159331,0.00159331,0.00159331
4,2583.76,2.14242,3.10211,2.41053,1.99551,0,0.16057,0.24396,0.09362,0.03556,0.19133,0.22173,0.09999,0.04028,2.25332,3.49003,4.98934,2.1198,0,0.001406,0.001406,0.001406
5,3133.77,2.07405,3.02717,2.25245,1.94853,0,0.36481,0.18841,0.19482,0.08537,0.35838,0.19082,0.19206,0.08077,2.12256,3.34157,3.97424,1.98477,0,0.001208,0.001208,0.001208
6,3683.75,1.96418,2.96635,2.11392,1.85332,0,0.54019,0.34058,0.35137,0.13854,0.53132,0.32859,0.31772,0.12219,2.07348,3.04931,2.00694,1.7899,0,0.00101,0.00101,0.00101
7,4225.2,1.90274,2.83888,1.94977,1.79638,0,0.49371,0.36715,0.34786,0.15159,0.51274,0.36957,0.36004,0.15854,2.00767,2.87557,1.96236,1.81701,0,0.000812,0.000812,0.000812
8,4832.49,1.86341,2.74005,1.91098,1.77482,0,0.48168,0.36232,0.3457,0.16189,0.48596,0.34058,0.3371,0.15756,1.92991,2.82177,1.89733,1.68105,0,0.000614,0.000614,0.000614
9,5388.64,1.79959,2.62806,1.81834,1.72219,0,0.54922,0.37923,0.38514,0.18995,0.57472,0.35907,0.39231,0.18521,1.83154,2.65444,1.7528,1.60833,0,0.000416,0.000416,0.000416
10,5956.33,1.75241,2.54878,1.73703,1.65544,0,0.57637,0.40093,0.43185,0.22272,0.62616,0.3884,0.43383,0.21306,1.78986,2.62218,1.65263,1.57937,0,0.000218,0.000218,0.000218
